# 読み方調整辞書
# フォーマット: 元の表記,読み方
# コメント行は#で始める
# 変換する文字は頭にくることは避けて文脈に応じて変換されるようにすることが望ましい
元の表記,読み方
日本,にほん
国ごと,くにごと
前や,まえや
へ行っ,へいっ
を行っ,をおこなっ
行え,おこなえ
行う,おこなう
方は,かたは
特徴,とくちょう
